statistic_label,month,property_type,unit,value
Residential Property Price Index,2006 March,Border - houses,Base 2015=100,
Residential Property Price Index,2006 March,Midland - houses,Base 2015=100,
Residential Property Price Index,2006 March,West - houses,Base 2015=100,
Residential Property Price Index,2006 March,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2006 March,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2006 March,South-East - houses,Base 2015=100,
Residential Property Price Index,2006 March,South-West - houses,Base 2015=100,
Residential Property Price Index,2006 April,National - all residential properties,Base 2015=100,144.6
Residential Property Price Index,2006 April,National - houses,Base 2015=100,140.5
Residential Property Price Index,2006 April,National - apartments,Base 2015=100,172.7
Residential Property Price Index,2006 April,Dublin - all residential properties,Base 2015=100,141.3
Residential Property Price Index,2006 April,Dublin - houses,Base 2015=100,135.2
Residential Property Price Index,2006 April,Dublin - apartments,Base 2015=100,164.8
Residential Property Price Index,2006 April,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2006 April,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2006 April,Fingal - houses,Base 2015=100,
Residential Property Price Index,2006 April,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2006 April,National excluding Dublin - all residential properties,Base 2015=100,161.8
Residential Property Price Index,2006 April,National excluding Dublin - houses,Base 2015=100,158.9
Residential Property Price Index,2006 April,National excluding Dublin - apartments,Base 2015=100,217.3
Residential Property Price Index,2006 April,Border - houses,Base 2015=100,
Residential Property Price Index,2006 April,Midland - houses,Base 2015=100,
Residential Property Price Index,2006 April,West - houses,Base 2015=100,
Residential Property Price Index,2006 April,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2006 April,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2006 April,South-East - houses,Base 2015=100,
Residential Property Price Index,2006 April,South-West - houses,Base 2015=100,
Residential Property Price Index,2006 May,National - all residential properties,Base 2015=100,147.6
Residential Property Price Index,2006 May,National - houses,Base 2015=100,143.4
Residential Property Price Index,2006 May,National - apartments,Base 2015=100,175.0
Residential Property Price Index,2006 May,Dublin - all residential properties,Base 2015=100,145.0
Residential Property Price Index,2006 May,Dublin - houses,Base 2015=100,139.1
Residential Property Price Index,2006 May,Dublin - apartments,Base 2015=100,167.5
Residential Property Price Index,2006 May,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2006 May,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2006 May,Fingal - houses,Base 2015=100,
Residential Property Price Index,2006 May,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2006 May,National excluding Dublin - all residential properties,Base 2015=100,164.6
Residential Property Price Index,2006 May,National excluding Dublin - houses,Base 2015=100,161.7
Residential Property Price Index,2006 May,National excluding Dublin - apartments,Base 2015=100,219.3
Residential Property Price Index,2006 May,Border - houses,Base 2015=100,
Residential Property Price Index,2006 May,Midland - houses,Base 2015=100,
Residential Property Price Index,2006 May,West - houses,Base 2015=100,
Residential Property Price Index,2006 May,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2006 May,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2006 May,South-East - houses,Base 2015=100,
Residential Property Price Index,2006 May,South-West - houses,Base 2015=100,
Residential Property Price Index,2006 June,National - all residential properties,Base 2015=100,150.3
Residential Property Price Index,2006 June,National - houses,Base 2015=100,146.2
Residential Property Price Index,2006 June,National - apartments,Base 2015=100,176.9
Residential Property Price Index,2006 June,Dublin - all residential properties,Base 2015=100,148.7
Residential Property Price Index,2006 June,Dublin - houses,Base 2015=100,143.1
Residential Property Price Index,2006 June,Dublin - apartments,Base 2015=100,169.8
Residential Property Price Index,2006 June,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2006 June,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2006 June,Fingal - houses,Base 2015=100,
Residential Property Price Index,2006 June,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2006 June,National excluding Dublin - all residential properties,Base 2015=100,166.9
